0,"20/08/20 12:00:00",1
0,"20/08/20 12:01:00",10
0,"20/08/20 12:02:00",20
0,"20/08/20 12:03:00",30
0,"20/08/20 12:04:00",40
0,"20/08/20 12:05:00",50
0,"20/08/20 12:06:00",60
0,"20/08/20 12:07:00",70
0,"20/08/20 12:08:00",80
0,"20/08/20 12:09:00",90
0,"20/08/20 12:10:00",100
0,"20/08/20 12:11:00",110
0,"20/08/20 12:12:00",120
0,"20/08/20 12:13:00",130
0,"20/08/20 12:14:00",140
0,"20/08/20 12:15:00",150
0,"20/08/20 12:16:00",160
0,"20/08/20 12:17:00",170
0,"20/08/20 12:18:00",180
0,"20/08/20 12:19:00",190
0,"20/08/20 12:20:00",200
0,"20/08/20 12:21:00",210
0,"20/08/20 12:22:00",220
0,"20/08/20 12:23:00",230
0,"20/08/20 12:24:00",240
0,"20/08/20 12:25:00",250
0,"20/08/20 12:26:00",260
0,"20/08/20 12:27:00",270
0,"20/08/20 12:28:00",280
0,"20/08/20 12:29:00",290
0,"20/08/20 12:30:00",300
0,"20/08/20 12:31:00",310
0,"20/08/20 12:32:00",320
0,"20/08/20 12:33:00",330
0,"20/08/20 12:34:00",340
0,"20/08/20 12:35:00",350
0,"20/08/20 12:36:00",360
0,"20/08/20 12:37:00",370
0,"20/08/20 12:38:00",380
0,"20/08/20 12:39:00",390
0,"20/08/20 12:40:00",400
0,"20/08/20 12:41:00",410
0,"20/08/20 12:42:00",420
0,"20/08/20 12:43:00",430
0,"20/08/20 12:44:00",440
0,"20/08/20 12:45:00",450
